patch_id,damage_iou
val_patch_00498,0.2742805755149028
val_patch_00254,0.27439024373512794
val_patch_00034,0.2746511271256352
val_patch_00608,0.274999999974537
val_patch_00618,0.2770919066835265
val_patch_00100,0.27832152098020496
val_patch_00263,0.2789925269781624
val_patch_00228,0.279504696839114
val_patch_00031,0.28028609745148053
val_patch_00136,0.2842296978756778
val_patch_00623,0.2846534652760759
val_patch_00284,0.28571428563425366
val_patch_00011,0.2865454545246149
val_patch_00689,0.2875638841469314
val_patch_00192,0.28952124591313394
val_patch_00314,0.2920278406409666
val_patch_00089,0.293984962398647
val_patch_00683,0.29459459456805454
val_patch_00088,0.29584688516017205
val_patch_00356,0.29971590904833584
val_patch_00012,0.29997665551085534
val_patch_00260,0.3023255813314322
val_patch_00020,0.3034188033539703
val_patch_00624,0.3101101749737489
val_patch_00466,0.31188266985465607
val_patch_00221,0.31641930499117593
val_patch_00172,0.3164983163917514
val_patch_00280,0.32042253509844276
val_patch_00320,0.3206624011922973
val_patch_00109,0.32153846152609467
val_patch_00605,0.3264338076686841
val_patch_00157,0.32729850583309356
val_patch_00286,0.32776717555688134
val_patch_00158,0.3281952472493131
val_patch_00080,0.3303135888386651
val_patch_00493,0.3303921568303537
val_patch_00574,0.33126177023858266
val_patch_00377,0.33461265102580506
val_patch_00380,0.3348051613995164
val_patch_00480,0.33642930853081227
val_patch_00149,0.33872131620235646
val_patch_00596,0.34018691582426414
val_patch_00682,0.34151065201152286
val_patch_00095,0.3449985586604497
val_patch_00143,0.3472505091296079
val_patch_00145,0.347309158302104
val_patch_00490,0.34980744542042314
val_patch_00052,0.3511054293852376
val_patch_00061,0.351992052343695
val_patch_00105,0.35294117640952577
val_patch_00680,0.3537061117875545
val_patch_00487,0.35444743930533057
val_patch_00423,0.35692452385711443
val_patch_00248,0.3595863166211681
val_patch_00003,0.3629677006599627
val_patch_00478,0.3643873336225614
val_patch_00305,0.37108886105312333
val_patch_00445,0.3723180479439496
val_patch_00062,0.37682242989949866
val_patch_00257,0.3774464118939938
val_patch_00070,0.37788165825961895
val_patch_00338,0.3789503965792177
val_patch_00410,0.37928338762050257
val_patch_00551,0.37952755902523405
val_patch_00317,0.38240639765967266
val_patch_00368,0.38282994691421257
val_patch_00041,0.3852459016106374
val_patch_00278,0.38823995247697013
val_patch_00171,0.3906127258367908
val_patch_00329,0.3921240634243174
val_patch_00245,0.3976495090717223
val_patch_00404,0.39824030000867966
val_patch_00471,0.4045032278317666
